source,series,checkpoint_count,train_count,assumed_noise_fraction,tail_energy_rank_1,tail_energy_rank_2,tail_energy_rank_3,selected_order,pencil_order,pencil_all_real_stable,pencil_poles,pencil_train_nrmse
reproduction,20260718__solver_normalized_uncertainty,21,15,0.03,0.6919534444441593,0.4173444693381075,0.1855658296544966,4+,4,False,-0.260668|-0.017612-0.311811j|-0.017612+0.311811j|0.347418,nan
reproduction,20260718__solver_normalized_uncertainty,21,16,0.005,0.6992854674284941,0.43103513323512804,0.20474847281040945,4+,4,False,-0.261025|-0.0167638-0.311614j|-0.0167638+0.311614j|0.345719,nan
reproduction,20260718__solver_normalized_uncertainty,21,16,0.01,0.6992854674284941,0.43103513323512804,0.20474847281040945,4+,4,False,-0.261025|-0.0167638-0.311614j|-0.0167638+0.311614j|0.345719,nan
reproduction,20260718__solver_normalized_uncertainty,21,16,0.02,0.6992854674284941,0.43103513323512804,0.20474847281040945,4+,4,False,-0.261025|-0.0167638-0.311614j|-0.0167638+0.311614j|0.345719,nan
reproduction,20260718__solver_normalized_uncertainty,21,16,0.03,0.6992854674284941,0.43103513323512804,0.20474847281040945,4+,4,False,-0.261025|-0.0167638-0.311614j|-0.0167638+0.311614j|0.345719,nan
reproduction,20260718__verifier_normalized_uncertainty,21,10,0.005,0.5220772212138617,0.3090713641624339,0.10670474433421648,4+,4,False,-0.555646|-0.0716551-0.614047j|-0.0716551+0.614047j|0.431339,nan
reproduction,20260718__verifier_normalized_uncertainty,21,10,0.01,0.5220772212138617,0.3090713641624339,0.10670474433421648,4+,4,False,-0.555646|-0.0716551-0.614047j|-0.0716551+0.614047j|0.431339,nan
reproduction,20260718__verifier_normalized_uncertainty,21,10,0.02,0.5220772212138617,0.3090713641624339,0.10670474433421648,4+,4,False,-0.555646|-0.0716551-0.614047j|-0.0716551+0.614047j|0.431339,nan
reproduction,20260718__verifier_normalized_uncertainty,21,10,0.03,0.5220772212138617,0.3090713641624339,0.10670474433421648,4+,4,False,-0.555646|-0.0716551-0.614047j|-0.0716551+0.614047j|0.431339,nan
reproduction,20260718__verifier_normalized_uncertainty,21,12,0.005,0.5665301787058337,0.3015855273778939,0.11498436780132197,4+,4,False,-0.906278|-0.178869-0.884717j|-0.178869+0.884717j|0.397455,nan
reproduction,20260718__verifier_normalized_uncertainty,21,12,0.01,0.5665301787058337,0.3015855273778939,0.11498436780132197,4+,4,False,-0.906278|-0.178869-0.884717j|-0.178869+0.884717j|0.397455,nan
reproduction,20260718__verifier_normalized_uncertainty,21,12,0.02,0.5665301787058337,0.3015855273778939,0.11498436780132197,4+,4,False,-0.906278|-0.178869-0.884717j|-0.178869+0.884717j|0.397455,nan
reproduction,20260718__verifier_normalized_uncertainty,21,12,0.03,0.5665301787058337,0.3015855273778939,0.11498436780132197,4+,4,False,-0.906278|-0.178869-0.884717j|-0.178869+0.884717j|0.397455,nan
